10,1,0
10549,128,635
97,32,836
34,4,1099
10,16,1315
6904,1,1441
9478,2,1510
6,1,1628
3339,2,1693
144,2,1707
33844,256,1798
12077,6,2162
5718,64,2177
106,16,2193
12034,1,2208
24372,6,3259
18,128,3352
4,1,3428
4758,64,3679
8,2,3727
6513,1,3731
16097,8,3762
199,1,4136
2,1,4998
14894,8,5050
45,4,5071
423,8,5098
24,18,6553
15686,256,6808
183,32,6857
7620,2,6911
8117,8,6942
7,1,6953
24,1,6973
2175,1,7003
15880,10,7147
28423,8,7170
39851,32,7473
12241,256,7600
104,8,7640
9609,32,7682
89,1,38661
1,22,39187
5169,128,39488
6991,13,39953
15,128,40112
22573,4,40541
146,8,40992
