37,4,0
23,8,50
15751,156,245
4,8,276
583,64,379
11,21,392
18621,32,459
8274,46,547
9927,4,598
18057,33,614
3576,1,665
111,1,882
109,4,936
12997,16,1538
24,16,1770
7,16,2524
10,2,2731
11,4,2954
75,16,3238
21,16,3262
6715,256,3272
19653,32,3390
9,8,3478
159,7,3483
48,32,4229
13,16,4737
31,32,4766
21568,16,6702
45,27,6766
29178,256,6871
7542,20,6982
3934,4,7034
246,16,7111
269,4,7168
8957,1,7174
112,64,7354
5718,64,8453
129,32,9000
7730,8,9025
13132,16,9032
11847,16,9223
11343,2,9354
6,32,9380
138,1,9770
11614,16,9836
365,1,9950
24,2,10044
27,29,101190
