7089,2,0
38,32,54459
22,4,54534
30,2,54617
9,1,54638
9,32,55022
1421,30,55054
15,1,55167
6645,1,55197
17580,16,56648
58,16,56711
2,4,57676
33,2,66905
39,32,67123
8,8,67215
32,1,67405
4,1,67433
44,16,67828
8,4,68293
19381,10,68721
4,20,68725
107,8,68774
1934,1,68817
2,4,68826
12,1,68884
213,16,68935
530,4,69044
16605,4,69067
32,2,69098
9445,64,69176
80,16,69899
68,32,69957
11,16,69965
239,1,69995
36,5,71351
13,8,71401
105,16,71555
42,1,71562
3,2,71985
4493,128,71994
19285,8,72679
16609,32,72708
33,1,72777
6045,32,72902
68,64,73062
703,1,73433
82,16,73581
11,1,74433
