103,2,0
20877,163,379
132,1,962
13072,128,1212
175,16,2409
10,32,2420
11084,2,2470
27,9,2638
154,4,2785
18519,32,2814
10606,4,2919
24810,1,2953
20216,4,4574
22228,16,4623
7,64,4681
5,1,4785
96,1,4868
14,1,5022
21,8,5389
79,3,6061
231,1,6162
42,2,6529
16593,1,11448
56,4,11507
8,16,11728
128,4,12419
11943,8,13141
8,16,13802
6,16,13851
150,32,14223
4,128,14637
17697,1,14739
1921,30,14970
45,1,15512
17,3,15882
322,4,17790
30366,128,18852
13652,8,19186
175,2,20430
47,8,21555
7,16,22010
14,4,22298
10731,1,22923
19,5,26071
10,2,26964
47,1,27624
9,1,27878
2764,6,28135
