221,2,0
12,16,16
22,2,24
10,2,95
5627,32,201
184,8,235
16269,256,275
156,1,351
128,1,375
10962,256,624
56,4,682
28,1,748
18332,253,1013
6964,16,1059
43,4,1227
9553,4,1259
1,64,1278
15,16,1323
11480,5,23601
35,42,23813
21,8,41595
8093,32,41782
16706,16,42094
6,5,44059
19056,9,44109
8,16,44141
10029,32,44473
407,2,44533
14990,64,45317
12454,64,46889
63,1,47251
562,16,47345
9,1,47427
23,8,47467
7041,1,48626
103,8,48809
3,2,50493
1911,4,50594
107,8,50873
837,4,51005
14782,32,51019
17026,16,51030
32835,32,51046
33107,16,51097
31,14,51104
9701,9,52021
10849,1,52044
17,16,52092
